	partida_id	clube_id	faltas	escanteios	cruzamentos	toques	carrinhos	interceptacoes	divididasVencidasPeloAlto	chutoes	impedimentos	tirosDeMeta	laterais	lancamentos	posseBola	totalPasses	passesCorretos	chutes	chutesCertos	defesas	cartoesAmarelos	cartoesVermelhos
0	2154036215	20	14.0	8.0	26.0	732	15.0		8.0	10.0	2.0	4.0	20.0	52.0	65%	577.0	493.0	12	6	0	1	0
1	4080025719	20	16.0	6.0	36.0	716	17.0		21.0	15.0	3.0	10.0	29.0	63.0	65%	497.0	404.0	11	5	5	4	0
2	1400637739	20	20.0	8.0	23.0	588	23.0		17.0	8.0	1.0	10.0	23.0	61.0	52%	390.0	293.0	15	7	3	1	0
3	3963761498	20	21.0	2.0	17.0	612	24.0		18.0	20.0	3.0	10.0	18.0	45.0	54%	403.0	327.0	8	3	3	5	0
4	2386972118	20	24.0	4.0	21.0	525	24.0		14.0	11.0	3.0	6.0	25.0	59.0	45%	330.0	231.0	16	8	3	5	0
5	937198463	20	12.0	7.0	27.0	669	22.0		13.0	6.0	1.0	6.0	26.0	56.0	61%	479.0	388.0	15	4	4	2	0
6	1378429889	20	19.0	2.0	15.0	584	24.0		24.0	16.0	3.0	5.0	22.0	71.0	50%	368.0	263.0	16	5	2	4	0
7	1111818108	20	19.0	4.0	11.0	654	17.0		21.0	20.0	2.0	5.0	26.0	75.0	60%	462.0	354.0	9	3	3	3	0
8	2261120564	20	18.0	2.0	24.0	744	25.0		13.0	14.0	2.0	10.0	22.0	51.0	59%	521.0	439.0	22	10	5	1	0
9	916173986	20	6.0	6.0	25.0	902	18.0		18.0	16.0	4.0	6.0	32.0	58.0	68%	663.0	578.0	21	10	3	0	0
10	31463191	20	14.0	6.0	18.0	610	24.0		27.0	26.0	3.0	10.0	28.0	62.0	49%	384.0	265.0	10	4	4	2	0
11	3528488295	20	26.0	4.0	19.0	702	20.0		19.0	13.0	1.0	9.0	22.0	62.0	63%	513.0	420.0	14	7	3	1	0
12	3027337715	20	21.0	0.0	5.0	502	25.0		20.0	24.0	1.0	11.0	24.0	69.0	40%	297.0	193.0	13	7	7	5	0
13	2907120561	20	17.0	4.0	10.0	473	23.0		17.0	17.0	3.0	13.0	19.0	47.0	39%	287.0	205.0	12	5	2	3	0
14	2933773412	20	13.0	1.0	12.0	630	28.0		19.0	40.0	1.0	9.0	24.0	73.0	42%	381.0	292.0	9	3	3	2	0
