	partidaId	mandanteId	visitanteId	placarMandante	placarVisitante	publico	vencedor	rodada	ano
0	2154036215	20	6	4	0	32,629	1	1	2016
1	313095314	20	6	0	1	29,779	-1	19	2017
2	1451714626	20	6	2	0	24,601	1	23	2018
3	1629560541	20	6	1	0	37,086	1	8	2019
4	3136640406	12	6	1	0	19,036	1	19	2016
5	62287592	12	6	2	0	10,199	1	22	2017
6	2422644228	12	6	1	2	62,994	-1	38	2018
7	216217673	12	6	3	2	52,667	1	6	2019
8	1617911496	10	6	1	0	17,465	1	21	2016
9	1099298248	10	6	0	1	10,924	-1	7	2017
10	53648302	10	6	3	1	20,922	1	24	2018
11	3093916457	26	6	1	0	12,861	1	12	2016
12	2672461764	26	6	1	0	15,442	1	4	2017
13	2646640665	21	6	1	0	2,471	1	25	2016
14	759429976	27	6	2	1	4,445	1	3	2016
15	2820743298	27	6	0	1	8,399	-1	34	2017
16	1141585812	27	6	2	0	10,965	1	12	2018
17	2556367547	27	6	2	1	7,992	1	14	2019
18	261811450	3	6	1	0	5,744	1	23	2016
19	363025182	24	6	0	0	24,701	0	37	2016
20	4173563175	24	6	2	2	41,201	0	14	2017
21	870006322	24	6	0	0	28,455	0	17	2018
22	3085168683	24	6	2	2	22,964	0	24	2019
23	1923645767	5	6	1	0	1,315	1	32	2016
24	3113410551	5	6	3	1	4,679	1	9	2018
25	3168296428	13	6	1	0	17,874	1	5	2016
26	2172400621	13	6	2	1	23,318	1	32	2018
27	2530098816	22	6	3	2	3,090	1	8	2016
28	550335292	22	6	2	1	5,997	1	35	2017
29	2963331982	17	6	1	1	43,691	0	35	2016
30	486778448	17	6	1	1	14,843	0	5	2017
31	3210258097	17	6	2	0	9,172	1	6	2018
32	3876117342	1	6	0	3	32,042	-1	14	2016
33	334224991	1	6	1	0	8,157	1	32	2017
34	2672520122	1	6	2	1	15,023	1	14	2018
35	757732543	1	6	0	2	20,689	-1	12	2019
36	3553307338	14	6	2	0	5,764	1	28	2016
