,partidaId,mandanteId,visitanteId,placarMandante,placarVisitante,publico,vencedor,rodada
0,3568251288,1670992046,1110161204,1,1,"50,220",0,1
1,3942208205,3209350440,3131217581,1,1,"31,470",0,1
2,726581407,2228842524,1898730127,3,2,"11,835",1,1
3,2533829675,2883380601,2213895614,4,0,"3,325",1,1
4,551612618,360415214,546424345,6,2,"8,127",1,1
5,2511380710,2976050151,3974523768,4,0,"3,104",1,1
6,4018437592,4060423562,871981024,0,0,"4,666",0,1
7,2373475148,67067627,1596141233,1,0,"11,416",1,1
8,138199245,3584964355,3657292249,2,0,"18,551",1,1
9,1990528876,3598766679,852822218,4,1,"10,631",1,1
10,2097237368,1898730127,3598766679,1,0,"5,921",1,2
11,1544777981,852822218,1670992046,0,3,"10,144",-1,2
12,3422975398,3131217581,2883380601,1,0,"10,323",1,2
13,661030781,2213895614,360415214,2,1,"19,030",1,2
14,2048093808,546424345,3584964355,0,2,"17,244",-1,2
15,1758205739,1110161204,2228842524,1,2,"16,145",-1,2
16,2653612254,871981024,3209350440,0,1,"16,515",-1,2
17,2087104886,3657292249,2976050151,2,0,"9,160",1,2
18,2014540807,3974523768,67067627,1,1,"3,484",0,2
19,3768266106,1596141233,4060423562,2,0,"12,427",1,2
20,2623995625,2213895614,2228842524,3,2,"20,442",1,3
21,3297995329,1596141233,2883380601,2,0,"33,288",1,3
22,2698451251,871981024,3598766679,0,1,"7,619",-1,3
23,3756144721,1110161204,2976050151,2,2,"19,553",0,3
24,2306797864,852822218,3209350440,0,1,"15,220",-1,3
25,1090005801,1898730127,67067627,0,1,"7,025",-1,3
26,4042511410,546424345,1670992046,1,1,"19,923",0,3
27,1740912153,3974523768,3584964355,4,3,"3,441",1,3
28,2939153756,3657292249,360415214,1,0,"7,886",1,3
29,2415181015,3131217581,4060423562,2,0,"6,188",1,3
30,2672461764,3598766679,546424345,1,0,"15,442",1,4
31,30032586,2228842524,871981024,2,1,"13,801",1,4
32,4016662114,3209350440,1898730127,2,0,"40,169",1,4
33,1116114871,1670992046,3657292249,0,0,"10,577",0,4
34,3368042457,4060423562,3974523768,1,0,"4,646",1,4
35,3022433337,2883380601,1110161204,0,0,"34,240",0,4
36,979200111,2976050151,1596141233,1,0,"6,246",1,4
37,2033831841,3584964355,2213895614,2,0,"22,578",1,4
38,649441672,67067627,3131217581,0,2,"16,591",-1,4
39,997648093,360415214,852822218,3,0,"13,364",1,4
40,486778448,2228842524,546424345,1,1,"14,843",0,5
41,936134211,3598766679,2883380601,1,0,"16,648",1,5
42,551970515,1110161204,4060423562,1,0,"12,648",1,5
43,852676669,1898730127,3657292249,1,0,"14,486",1,5
44,662490934,3974523768,1670992046,2,0,"11,426",1,5
45,1881300290,2213895614,3209350440,2,5,"16,288",-1,5
46,1573923714,1596141233,871981024,2,0,"12,536",1,5
47,585374052,852822218,2976050151,3,0,"2,862",1,5
48,1144517332,3131217581,3584964355,3,6,"14,403",-1,5
49,1865857279,360415214,67067627,1,0,"18,917",1,5
50,2173770407,2883380601,2228842524,3,1,"33,066",1,6
51,4035019172,2213895614,3974523768,2,1,"10,273",1,6
52,3911270486,3657292249,3598766679,2,2,"14,866",0,6
53,1603956711,2976050151,3131217581,3,2,"4,105",1,6
54,1847518063,4060423562,1670992046,1,1,"13,448",0,6
55,2734577917,871981024,1110161204,2,0,"6,812",1,6
56,1327807727,3209350440,1596141233,3,2,"42,443",1,6
57,3780220905,67067627,852822218,2,0,"9,912",1,6
58,2476616660,546424345,1898730127,0,2,"18,112",-1,6
59,2017237233,3584964355,360415214,1,0,"22,103",1,6
60,4186952707,871981024,3657292249,2,2,"8,877",0,7
61,3983956126,852822218,4060423562,3,1,"2,572",1,7
62,3725852614,3974523768,1596141233,0,0,"10,810",0,7
63,1099298248,1110161204,546424345,0,1,"10,924",-1,7
64,2723152387,1670992046,2976050151,2,0,"13,981",1,7
65,860053860,1898730127,2883380601,1,0,"10,143",1,7
66,2450550909,3131217581,2213895614,2,1,"10,003",1,7
67,2524822248,3209350440,67067627,1,0,"30,465",1,7
68,3060783417,3598766679,360415214,0,0,"19,534",0,7
69,3178546483,2228842524,3584964355,0,2,"11,652",-1,7
70,384710555,852822218,546424345,0,1,"4,420",-1,8
71,1015093056,2213895614,4060423562,1,0,"10,993",1,8
72,906172067,1898730127,2976050151,0,0,"19,984",0,8
73,1888275073,3598766679,3209350440,0,0,"19,534",0,8
74,1195823414,3131217581,3657292249,0,2,"11,603",-1,8
75,2688116464,2228842524,1670992046,2,2,"33,112",0,8
76,804235037,360415214,2883380601,2,4,"33,186",-1,8
77,263408638,1596141233,1110161204,1,2,"22,704",-1,8
78,4234743087,3974523768,871981024,1,3,"6,061",-1,8
79,4076612137,67067627,3584964355,3,3,"20,384",0,8
80,1339336589,871981024,1898730127,0,2,"7,855",-1,9
81,2275557934,3657292249,2213895614,3,1,"15,048",1,9
82,2329828089,2883380601,852822218,1,0,"29,014",1,9
83,277429689,4060423562,2228842524,0,3,"5,239",-1,9
84,970487888,1110161204,3974523768,2,2,"12,027",0,9
85,210559545,546424345,1596141233,1,0,"19,150",1,9
86,3290131908,3209350440,360415214,3,0,"34,250",1,9
87,3289446174,2976050151,67067627,1,0,"4,707",1,9
88,925911829,1670992046,3131217581,5,1,"14,632",1,9
89,3340263308,3584964355,3598766679,2,0,"19,035",1,9
90,4044021384,1898730127,3974523768,0,1,"7,272",-1,10
91,1019399321,2213895614,852822218,1,0,"20,658",1,10
92,2154427002,3584964355,3209350440,0,1,"50,116",-1,10
93,1151288922,2976050151,2883380601,1,2,"6,051",-1,10
94,3470003705,546424345,871981024,4,1,"15,770",1,10
95,622322904,67067627,3598766679,2,0,"11,778",1,10
96,794295204,1596141233,2228842524,1,1,"17,742",0,10
97,2405673663,360415214,1670992046,0,1,"21,929",-1,10
98,707067208,3131217581,1110161204,0,1,"9,013",-1,10
99,1578971004,3657292249,4060423562,0,2,"22,819",-1,10
100,3431630832,2883380601,3584964355,1,0,"31,395",1,11
101,2455454132,852822218,1898730127,1,1,"5,898",0,11
102,2104494866,3974523768,546424345,1,0,"11,031",1,11
103,2491777850,1670992046,1596141233,2,0,"17,302",1,11
104,814252750,871981024,360415214,0,0,"10,741",0,11
105,1303552856,1110161204,67067627,3,1,"17,251",1,11
106,3928587003,3209350440,3657292249,1,0,"40,341",1,11
107,2995338150,3598766679,2213895614,2,2,"8,020",0,11
108,3878791191,4060423562,2976050151,0,0,"5,697",0,11
109,2350110043,2228842524,3131217581,3,3,"7,536",0,11
110,3448419460,852822218,871981024,1,2,"2,857",-1,12
111,820072816,2213895614,1670992046,0,1,"19,622",-1,12
112,4226144501,3209350440,2976050151,2,0,"32,877",1,12
113,1846346214,3131217581,546424345,1,1,"9,689",0,12
114,3521533349,3584964355,4060423562,0,2,"27,222",-1,12
115,1032902082,67067627,2883380601,3,1,"19,090",1,12
116,429537830,360415214,2228842524,1,1,"18,267",0,12
117,1856040566,1898730127,1596141233,3,2,"10,322",1,12
118,4010552391,3657292249,1110161204,1,1,"9,630",0,12
119,3080538091,3598766679,3974523768,0,3,"10,192",-1,12
120,3766542008,1110161204,1898730127,0,1,"12,949",-1,13
121,3280164664,2976050151,360415214,0,3,"4,181",-1,13
122,3478090941,2228842524,3657292249,0,1,"14,851",-1,13
123,2427574299,546424345,67067627,0,2,"13,897",-1,13
124,1190449266,871981024,2213895614,1,4,"5,548",-1,13
125,598274269,2883380601,3209350440,0,2,"39,091",-1,13
126,3776037503,1596141233,852822218,2,2,"31,333",0,13
127,587738883,3974523768,3131217581,3,0,"25,861",1,13
128,3902349257,1670992046,3584964355,0,1,"18,204",-1,13
129,563446421,4060423562,3598766679,1,4,"6,552",-1,13
130,4173563175,3209350440,546424345,2,2,"41,201",0,14
131,1127138961,2883380601,871981024,4,2,"36,263",1,14
132,1630786596,852822218,1110161204,1,2,"5,235",-1,14
133,3672676715,3584964355,2976050151,3,1,"19,292",1,14
134,1284638516,3131217581,1596141233,2,0,"10,742",1,14
135,2818877040,2213895614,1898730127,0,0,"Estádio Club de Regatas Vasco da Gama, Rio de Janeiro, RJ",0,14
136,2891363574,67067627,1670992046,1,1,"43,439",0,14
137,2630327801,360415214,4060423562,1,1,"12,389",0,14
138,717774215,3598766679,2228842524,1,2,"10,843",-1,14
139,2896908528,3657292249,3974523768,2,1,"17,313",1,14
140,5143824,871981024,3584964355,1,3,"5,541",-1,15
141,634089694,1898730127,3131217581,1,0,"5,533",1,15
142,3322671938,4060423562,3209350440,0,0,"10,671",0,15
143,3512030683,2976050151,3598766679,4,0,"3,832",1,15
144,796820211,1596141233,2213895614,1,0,"22,574",1,15
145,2920647349,1110161204,360415214,0,2,"12,177",-1,15
146,3422312170,1670992046,2883380601,2,2,"15,103",0,15
147,257785823,2228842524,67067627,1,1,"5,753",0,15
148,1034364853,3974523768,852822218,4,0,"8,809",1,15
149,3054627303,546424345,3657292249,0,0,"15,134",0,15
150,1985613921,871981024,3131217581,1,2,"5,433",-1,16
151,4051537247,1670992046,3598766679,2,1,"13,014",1,16
152,3611540371,1898730127,360415214,3,0,"32,869",1,16
153,2538909536,4060423562,67067627,1,0,"6,590",1,16
154,4267663191,3974523768,2883380601,0,2,"37,430",-1,16
155,2071794209,2228842524,3209350440,0,1,"23,863",-1,16
156,1070454055,1110161204,2213895614,1,2,"12,497",-1,16
157,3756408596,852822218,3657292249,1,1,"5,462",0,16
158,1649459446,546424345,2976050151,0,2,"13,661",-1,16
159,881331878,1596141233,3584964355,1,1,"51,511",0,16
160,2255086984,3657292249,1596141233,3,4,"17,139",-1,17
161,2899892841,2883380601,4060423562,2,0,"33,633",1,17
162,1915799293,3131217581,852822218,1,2,"9,744",-1,17
163,3516030251,3209350440,1670992046,1,1,"44,682",0,17
164,1200962241,3598766679,1110161204,0,2,"11,564",-1,17
165,461853697,360415214,3974523768,1,3,"17,869",-1,17
166,876233447,67067627,871981024,0,0,"12,471",0,17
