nameTeam,hash,teamId
Atlético Mineiro,422bb734,1110161204
Atlético Paranaense,2091c619,546424345
Avaí,f205258a,4060423562
Bahia,157b7fee,360415214
Botafogo (RJ),d9fdd9d9,3657292249
CSA,05aff519,95417625
Ceará,2f335e17,791895575
Chapecoense,baa296ad,3131217581
Corinthians,bf4acd28,3209350440
Cruzeiro,03ff5eeb,67067627
Flamengo,639950ae,1670992046
Fluminense,84d9701c,2228842524
Fortaleza,a9d0ab0e,2849024782
Goiás,78c617cc,2026248140
Grêmio,d5ae3703,3584964355
Internacional,6f7e1f03,1870536451
Palmeiras,abdce579,2883380601
Santos,712c528f,1898730127
São Paulo,5f232eb1,1596141233
Vasco da Gama,83f55dbe,2213895614
